round,name,score,score_sum,s2_round,s2_name,s2_score,s2_score_sum,s3_round,s3_name,s3_score,s3_score_sum,s3_correct_results,s3_correct_scores
40.0,andy,13.0,312.0,31.0,jack,13.0,268.0,28,jack,4,230,,
40.0,david,8.0,329.0,31.0,jake,10.0,259.0,28,jake,9,226,,
40.0,jake,11.0,296.0,31.0,james,9.0,258.0,28,james,4,227,,
40.0,james,11.0,342.0,31.0,jonnie,11.0,273.0,28,jonnie,4,242,,
40.0,jonnie,11.0,319.0,31.0,josh,9.0,237.0,28,josh,14,242,,
40.0,josh,16.0,248.0,31.0,sam,4.0,245.0,28,sam,4,208,,
40.0,sam,8.0,316.0,32.0,andy,6.0,234.0,28,tom,4,213,,
41.0,andy,0.0,312.0,32.0,david,8.0,247.0,29,andy,10,240,,
41.0,david,6.0,335.0,32.0,ed,8.0,230.0,29,david,13,209,,
41.0,jake,7.0,303.0,32.0,jack,0.0,268.0,29,ed,8,241,,
41.0,james,4.0,346.0,32.0,jake,6.0,265.0,29,jack,11,241,,
41.0,jonnie,2.0,321.0,32.0,james,11.0,269.0,29,jake,11,237,,
41.0,josh,4.0,252.0,32.0,jonnie,14.0,287.0,29,james,6,233,,
41.0,sam,2.0,318.0,32.0,josh,8.0,245.0,29,jonnie,8,250,,
42.0,andy,6.0,318.0,32.0,sam,11.0,256.0,29,josh,8,250,,
42.0,david,13.0,348.0,33.0,andy,8.0,242.0,29,sam,8,216,,
42.0,jake,6.0,309.0,33.0,david,10.0,257.0,29,tom,8,221,,
42.0,james,4.0,350.0,33.0,ed,8.0,238.0,30,andy,2,242,,
42.0,jonnie,10.0,331.0,33.0,jack,8.0,276.0,30,david,7,216,,
42.0,josh,4.0,256.0,33.0,jake,10.0,275.0,30,ed,14,255,,
42.0,sam,11.0,329.0,33.0,james,11.0,280.0,30,jack,9,250,,
43.0,andy,6.0,324.0,33.0,jonnie,10.0,297.0,30,jake,14,251,,
43.0,david,13.0,361.0,33.0,josh,8.0,253.0,30,james,9,242,,
43.0,jake,13.0,322.0,33.0,sam,10.0,266.0,30,jonnie,7,257,,
43.0,james,6.0,356.0,34.0,andy,8.0,250.0,30,josh,6,256,,
43.0,jonnie,9.0,340.0,34.0,david,6.0,263.0,30,sam,12,228,,
43.0,josh,11.0,267.0,34.0,ed,6.0,244.0,30,tom,4,225,,
43.0,sam,8.0,337.0,34.0,jack,6.0,282.0,31,andy,6,248,,
44.0,andy,8.0,332.0,34.0,jake,8.0,283.0,31,david,6,222,,
44.0,david,12.0,373.0,34.0,james,4.0,284.0,31,ed,7,262,,
44.0,jake,18.0,340.0,34.0,jonnie,8.0,305.0,31,jack,10,260,,
44.0,james,11.0,367.0,34.0,josh,8.0,261.0,31,jake,9,260,,
44.0,jonnie,11.0,351.0,34.0,sam,4.0,270.0,31,james,6,248,,
44.0,josh,13.0,280.0,35.0,andy,8.0,258.0,31,jonnie,6,263,,
44.0,sam,10.0,347.0,35.0,david,8.0,271.0,31,josh,8,264,,
45.0,andy,12.0,344.0,35.0,ed,6.0,250.0,31,sam,6,234,,
45.0,david,2.0,375.0,35.0,jack,9.0,291.0,31,tom,0,225,,
45.0,jake,4.0,344.0,35.0,jake,8.0,291.0,32,andy,10,258,,
45.0,james,2.0,369.0,35.0,james,16.0,300.0,32,david,11,233,,
45.0,jonnie,2.0,353.0,35.0,jonnie,11.0,316.0,32,ed,10,272,,
45.0,josh,0.0,280.0,35.0,josh,11.0,272.0,32,jack,11,271,,
45.0,sam,4.0,351.0,35.0,sam,8.0,278.0,32,jake,14,274,,
46.0,andy,7.0,351.0,36.0,andy,13.0,271.0,32,james,6,254,,
46.0,david,8.0,383.0,36.0,david,13.0,284.0,32,jonnie,14,277,,
46.0,jake,4.0,348.0,36.0,ed,13.0,263.0,32,josh,16,280,,
46.0,james,4.0,373.0,36.0,jack,10.0,301.0,32,sam,16,250,,
46.0,jonnie,4.0,357.0,36.0,jake,11.0,302.0,32,tom,0,225,,
46.0,josh,9.0,289.0,36.0,james,10.0,310.0,33,andy,14,272,,
46.0,sam,4.0,355.0,36.0,jonnie,16.0,332.0,33,david,8,241,,
47.0,andy,10.0,361.0,36.0,josh,0.0,272.0,33,ed,11,283,,
47.0,david,16.0,399.0,36.0,sam,10.0,288.0,33,jack,14,285,,
47.0,jake,11.0,359.0,37.0,andy,9.0,280.0,33,jake,6,280,,
47.0,james,13.0,386.0,37.0,david,9.0,293.0,33,james,11,265,,
47.0,jonnie,0.0,357.0,37.0,ed,4.0,267.0,33,jonnie,6,283,,
47.0,josh,11.0,300.0,37.0,jack,14.0,315.0,33,josh,8,288,,
47.0,sam,14.0,369.0,37.0,jake,4.0,306.0,33,sam,13,263,,
48.0,andy,7.0,368.0,37.0,james,14.0,324.0,33,tom,0,225,,
